LONGITUDE,LATITUDE,2015,2016,2017,2018,2019
32.6001091,-19.00678,396,155,377,314,220
31.32369041,-19.10703,8,8,1,2,3
30.54888916,-17.72028,23,30,11,5,7
31.13387,-17.27463,530,933,27,9,17
31.23349953,-22.26981,189,77,1270,244,111
31.11667061,-16.7295,336,527,637,303,610
30.12888908,-18.14167,1,0,0,0,0
30.43564034,-20.47203,1,1,2,3,1
28.82028008,-17.78917,666,437,1679,547,541
29.10292053,-18.70764,0,1,0,0,0
30.51683044,-19.77036,2,0,0,4,1
31.18907928,-19.28422,5,1,4,7,13
31.03632927,-17.95647,3,6,1,1,2
29.94249916,-16.50056,1086,354,233,412,437
26.85831,-18.62354,15,0,2,6,1
26.86778069,-18.61583,6,1,3,5,15
29.03146,-17.02504,272,155,121,49,90
32.4641,-16.7837,583,416,966,275,418
31.38666916,-19.66761,11,5,17,10,9
32.12055969,-19.95322,77,71,199,140,97
31.95138,-20.247192,186,106,251,281,111
31.78936005,-18.38519,68,28,37,24,20
26.73749924,-18.38,9,8,18,5,20
32.08778,-16.88,520,416,1245,869,842
27.80888939,-20.5025,1,0,0,2,0
30.39002991,-22.22214,85,21,281,171,65
27.406,-19.4999,2,0,8,0,4
30.24221992,-16.75889,155,66,144,102,114
32.43803024,-18.35139,28,16,13,22,17
27.62221909,-20.40417,0,0,0,0,0
31.13871956,-17.60214,30,19,17,26,18
31.56706047,-18.18722,29,31,38,11,22
31.9716,-17.7698,246,55,139,91,133
29.62888908,-18.50778,3,1,28,5,5
30.59693909,-18.68278,1,1,1,1,0
27.44719,-18.40378,8,6,5,14,10
30.95695,-16.9492,77,46,63,37,81
29.50744057,-18.607,1,0,3,2,0
28.90630913,-18.76897,1,0,0,1,0
32.52222061,-19.07036,169,143,464,148,94
29.35702,-16.71696,242,270,116,112,176
31.7682209,-19.05431,1,8,10,1,0
29.81333,-19.95071,0,0,1,1,3
31.80269051,-18.52369,19,9,8,9,5
28.5674,-20.1898,7,3,2,2,0
32.70662,-18.76903,2,3,11,1,10
30.70710945,-19.41889,0,0,0,0,0
29.98372078,-22.20681,70,23,130,78,29
32.38531113,-18.42167,46,26,22,3,25
31.4039402,-22.21711,421,111,1534,540,262
32.96813965,-18.34042,671,353,470,316,463
31.0861,-17.8256,0,0,0,0,0
28.545,-20.1433,4,3,3,4,0
28.67786,-20.40312,0,0,0,0,0
25.82613,-17.91214,3,0,0,0,0
32.78955841,-17.60311,1596,327,795,517,494
28.5249,-20.1185,26,4,5,5,3
27.82110977,-20.77917,0,0,0,0,0
27.90278053,-20.70778,0,0,0,0,0
26.5008297,-18.34972,140,20,27,30,16
28.5435,-20.1207,3,7,12,3,7
31.1395,-17.8994,103,49,77,49,50
31.1271,-17.8795,93,66,119,58,85
32.27172089,-18.23656,183,58,86,54,91
32.70222092,-18.3835,29,25,25,5,13
28.90357971,-20.40247,0,1,0,0,2
28.93678093,-20.28347,1,1,3,10,5
29.07592,-18.84766,1,0,0,0,0
28.88582993,-18.91583,2,0,0,1,2
30.38611031,-17.79944,14,8,14,4,10
27.414,-18.74072,1,0,9,4,2
31.35101,-20.68621,74,31,244,140,47
32.65113831,-19.03792,180,249,334,38,50
29.28667068,-20.54033,4,3,4,8,2
28.89417076,-19.9675,1,2,0,2,0
32.62335968,-18.93539,0,0,0,0,0
32.65243912,-18.97078,51,53,169,29,41
32.99074936,-17.33472,1451,1111,2643,1633,2396
31.27804947,-17.2132,3043,328,47,39,92
30.9546,-17.0488,138,79,42,28,31
31.33197975,-17.30967,1,11,1,0,4
28.25848,-20.67242,0,0,0,0,0
28.86027908,-16.78361,113,97,74,53,62
32.95471954,-18.10139,362,313,194,138,283
31.43643951,-19.10203,17,16,9,3,12
31.26761055,-18.72261,5,2,7,1,8
31.81698,-19.9153,31,42,82,39,56
31.53463936,-18.7085,62,1,6,3,12
31.40218925,-19.20661,3,9,13,1,4
28.98773,-21.16676,3,0,6,6,4
30.51238,-20.0236,0,2,2,0,1
32.81785965,-18.52333,109,85,121,86,124
31.80962,-20.53792,123,80,398,732,136
28.73389053,-18.26167,19,12,0,0,2
32.63943863,-20.19194,340,299,269,94,111
31.15553093,-22.10286,203,53,600,302,106
31.4236,-17.4394,2267,71,39,34,41
30.969,-17.9058,60,47,48,33,24
30.9508,-17.908,79,60,61,52,52
29.52222061,-17.61778,41,15,12,8,24
31.35333061,-19.05353,3,4,9,9,6
28.92499924,-18.21139,22,31,18,16,26
29.7930603,-18.22306,16,7,10,6,5
31.53335953,-19.23786,9,14,12,5,32
29.45247078,-18.76839,3,0,3,3,3
28.22360992,-18.84139,9,0,0,2,3
31.90127945,-18.89328,14,3,27,11,18
30.83333015,-16.08695,804,128,1135,168,501
31.51667023,-16.91667,167,53,121,67,126
30.72999954,-18.42417,4,1,2,0,0
28.89694023,-17.85194,10,6,9,7,34
31.3597,-17.8672,1,1,1,0,1
31.78155,-17.55378,25,19,27,11,26
30.65777969,-16.58639,426,80,94,109,263
32.67319107,-17.71917,1007,389,586,206,172
31.80672073,-18.72842,10,4,26,22,9
31.45557,-18.65151,17,5,32,4,1
32.33406067,-18.08644,484,75,82,39,61
32.86700058,-17.18619,892,992,2826,1669,3381
31.50502968,-18.18478,0,0,0,0,0
30.15505,-16.68228,566,99,326,240,398
31.1291,-17.8105,0,0,0,0,0
30.21932983,-20.39072,0,0,0,2,1
32.40428162,-19.86911,32,38,149,29,34
28.5902195,-20.45719,0,3,0,0,2
28.90527916,-17.40972,48,12,14,13,36
30.00278091,-19.18781,3,3,0,1,0
30.52416992,-19.87314,4,3,2,0,0
30.08336067,-19.88494,2,1,1,4,1
28.88731003,-21.45617,3,0,4,2,7
31.14068985,-20.00739,13,8,25,3,11
32.30699921,-19.87439,54,55,85,35,65
30.90313911,-19.77056,1,10,7,1,2
30.48756027,-19.63519,0,1,0,0,0
30.70222092,-16.67111,437,219,243,255,451
30.7032,-16.6628,43,12,32,90,52
32.65293884,-18.74136,56,31,85,18,65
32.61811066,-19.37139,693,544,492,292,402
31.21805954,-19.65678,7,3,9,6,16
31.15007973,-19.65761,29,37,95,31,63
31.05475044,-20.62497,15,9,69,40,33
28.96777916,-19.21444,1,0,0,0,0
29.00005913,-20.95786,25,12,21,11,8
29.24167061,-18.26278,4,1,3,9,4
30.38903046,-19.78753,2,0,0,4,0
30.06847,-20.95372,2,3,10,8,0
29.69050026,-20.40542,5,2,8,0,4
30.85832977,-17.67694,4,2,4,4,2
28.70889091,-18.66306,3,1,0,2,2
32.66249847,-20.53,436,601,487,351,286
29.83908081,-19.47222,0,0,0,0,0
32.17253113,-19.2565,43,50,52,16,42
28.95606041,-20.32064,1,1,0,1,1
30.62450027,-19.85431,0,0,1,0,2
30.16764069,-19.65592,4,0,0,1,0
32.47261047,-18.60322,8,7,9,3,15
